
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-16 17:53:27 /favicon.ico ............................................................................. ~ 1s
  2026-03-16 17:53:41 /api/auth/me ....................................................................... ~ 504.10ms
  2026-03-16 17:53:41 /api/system/compression-status ........................................................... ~ 2s
  2026-03-16 17:53:42 /api/auth/me ............................................................................. ~ 2s
  2026-03-16 17:54:00 /api/system/compression-status ..................................................... ~ 502.91ms
  2026-03-16 17:55:55 /api/auth/me ....................................................................... ~ 505.60ms
  2026-03-16 17:55:55 /api/documents ........................................................................... ~ 1s
  2026-03-16 17:55:56 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:55:56 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:55:57 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:55:58 /api/documents/22 .................................................................... ~ 0.20ms
  2026-03-16 17:55:58 /api/documents/22 .................................................................. ~ 509.51ms
  2026-03-16 17:55:59 /api/documents/stats ............................................................... ~ 504.04ms
  2026-03-16 17:55:59 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:55:59 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:56:00 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:56:00 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:56:01 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:56:03 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:56:26 /api/documents/check-code ............................................................ ~ 0.10ms
  2026-03-16 17:56:26 /api/documents/check-code .......................................................... ~ 503.12ms
  2026-03-16 17:56:32 /api/documents/check-code .......................................................... ~ 512.14ms
  2026-03-16 17:56:32 /api/upload .............................................................................. ~ 1s
  2026-03-16 17:56:33 /api/documents/check-code ................................................................ ~ 1s
  2026-03-16 17:56:34 /api/documents/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ................................. ~ 511.57ms
  2026-03-16 17:56:34 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:56:35 /api/documents/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ....................................... ~ 1s
  2026-03-16 17:56:35 /api/documents/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ....................................... ~ 1s
  2026-03-16 17:56:36 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:56:36 /api/documents/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ....................................... ~ 1s
  2026-03-16 17:56:37 /api/files/pdf-original/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ........................... ~ 501.96ms
  2026-03-16 17:56:38 /api/files/pdf-original/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ........................... ~ 516.96ms
  2026-03-16 17:56:38 /api/files/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ..................................... ~ 504.73ms
  2026-03-16 17:57:19 /api/embed ......................................................................... ~ 516.40ms
  2026-03-16 17:57:20 /api/documents/qr/lVsFFZNayPOcmwCRG9U9IsMUzAMf56Sz ................................. ~ 509.02ms
  2026-03-16 17:57:26 /api/auth/me ....................................................................... ~ 506.11ms
  2026-03-16 17:57:27 /api/documents ..................................................................... ~ 506.46ms
  2026-03-16 17:57:27 /api/documents/stats ..................................................................... ~ 1s
  2026-03-16 17:57:27 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 17:57:28 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 17:57:31 /api/documents/23 .................................................................... ~ 0.10ms
  2026-03-16 17:57:31 /api/documents/23 ........................................................................ ~ 1s
  2026-03-16 17:57:32 /api/documents/stats ............................................................... ~ 510.54ms
  2026-03-16 17:59:00 /api/system/compression-status ..................................................... ~ 505.87ms
  2026-03-16 18:02:27 /api/system/compression-status ..................................................... ~ 511.92ms
  2026-03-16 18:04:00 /api/system/compression-status ..................................................... ~ 514.45ms
  2026-03-16 18:07:27 /api/system/compression-status ........................................................... ~ 2s
  2026-03-16 18:09:30 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:12:23 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:24 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:12:24 /api/documents ........................................................................... ~ 2s
  2026-03-16 18:12:24 /api/documents/stats ..................................................................... ~ 2s
  2026-03-16 18:12:25 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:26 /api/system/compression-status ........................................................... ~ 1s
  2026-03-16 18:12:27 /api/auth/me ............................................................................. ~ 2s
  2026-03-16 18:12:29 /api/auth/me ....................................................................... ~ 507.63ms
  2026-03-16 18:12:30 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:31 /api/auth/me ............................................................................. ~ 1s
  2026-03-16 18:12:40 /api/auth/me ....................................................................... ~ 507.63ms
  2026-03-16 18:12:40 /api/system/compression-status ..................................................... ~ 511.07ms
  2026-03-16 18:12:40 /api/documents ........................................................................... ~ 1s
  2026-03-16 18:12:41 /api/documents/stats ..................................................................... ~ 2s
  2026-03-16 18:12:42 /api/auth/me ............................................................................. ~ 1s
